id,device_id,area,timestamp,voltage,current,power,energy,temperature,occupancy,created_at,hour,minute,day_of_week,is_weekend,previous_energy,previous_power,energy_rolling_mean_3,power_rolling_mean_3,energy_delta,target_next_energy,is_synthetic_anomaly,anomaly_type
55,LIB-01,Library,2026-08-22 19:13:37,227.5,3.08,700.7,1.7602,22.5,4,2026-08-23 12:17:06.610968,19,13,5,1,1.585,735.33,1.4007666666666667,667.6433333333333,0.1752,1.9079,0,normal
13,LAB-01,Computer Laboratory 1,2026-08-22 17:13:37,227.8,4.34,988.65,0.6366,24.5,4,2026-08-23 12:17:06.610911,17,13,5,1,0.3894,791.51,0.29045,778.72,0.2472,0.8281,0,normal
340,LIB-01,Library,2026-08-23 09:28:37,230.4,2.77,638.21,5.1298,23.0,4,2026-08-23 12:17:06.611506,9,28,6,1,4.9702,492.26,4.869033333333333,298.92,0.1596000000000002,5.3007,0,normal
462,CLASS-01,Classroom 1,2026-08-23 15:43:37,229.1,2.1,481.11,4.6103,28.5,6,2026-08-23 12:17:06.611854,15,43,6,1,4.49,336.82,4.409133333333333,300.98,0.1202999999999994,4.6823,0,normal
245,LIB-01,Library,2026-08-23 04:43:37,229.5,0.69,158.35,3.9193,21.9,0,2026-08-23 12:17:06.611369,4,43,6,1,3.8797,195.41,3.834133333333333,178.59000000000003,0.0395999999999996,3.9724,0,normal
100,LIB-01,Library,2026-08-22 21:28:37,228.2,0.86,196.25,2.5018,21.9,0,2026-08-23 12:17:06.611090,21,28,5,1,2.4527,189.83,2.3999666666666664,196.73,0.0490999999999997,2.5396,0,normal
469,LAB-02,Computer Laboratory 2,2026-08-23 15:58:37,234.1,3.74,875.53,9.4128,25.8,3,2026-08-23 12:17:06.611864,15,58,6,1,9.1939,592.38,9.0582,564.5266666666666,0.2189000000000014,9.6125,0,normal
386,ADMIN-01,Administrative Office,2026-08-23 11:58:37,225.3,1.83,412.3,4.4322,25.0,0,2026-08-23 12:17:06.611588,11,58,6,1,4.3291,439.33,4.216233333333334,452.47,0.1030999999999995,4.5125,0,normal
235,LIB-01,Library,2026-08-23 04:13:37,229.0,0.68,155.72,3.8308,22.9,0,2026-08-23 12:17:06.611354,4,13,6,1,3.7919,184.64,3.7479333333333336,164.54333333333338,0.0388999999999999,3.8797,0,normal
122,CLASS-01,Classroom 1,2026-08-22 22:43:37,229.7,0.36,82.69,0.6683,24.7,0,2026-08-23 12:17:06.611128,22,43,5,1,0.6476,120.85,0.616,111.83333333333331,0.0207,0.6985,0,normal
20,LIB-01,Library,2026-08-22 17:28:37,229.5,2.62,601.29,0.5726,23.0,3,2026-08-23 12:17:06.610920,17,28,5,1,0.4223,535.92,0.2821333333333333,563.0733333333334,0.1503,0.7799,0,normal
156,ADMIN-01,Administrative Office,2026-08-23 00:28:37,225.7,0.77,173.79,1.7522,23.8,0,2026-08-23 12:17:06.611174,0,28,6,1,1.7088,117.86,1.6757666666666668,156.57333333333332,0.0433999999999998,1.8013,0,normal
276,ADMIN-01,Administrative Office,2026-08-23 06:28:37,231.4,0.72,166.61,2.717,23.6,0,2026-08-23 12:17:06.611417,6,28,6,1,2.6753,131.14,2.644066666666667,131.99333333333334,0.0417,2.7603,0,normal
451,ADMIN-01,Administrative Office,2026-08-23 15:13:37,229.5,2.11,484.24,5.7823,26.6,1,2026-08-23 12:17:06.611839,15,13,6,1,5.6612,435.6,5.548866666666666,465.4933333333333,0.1211000000000002,5.8763,0,normal
249,LAB-02,Computer Laboratory 2,2026-08-23 04:58:37,230.9,0.91,210.12,3.2996,22.3,0,2026-08-23 12:17:06.611375,4,58,6,1,3.2471,246.35,3.189966666666667,224.12,0.0524999999999997,3.3426,0,normal
381,ADMIN-01,Administrative Office,2026-08-23 11:43:37,236.2,1.86,439.33,4.3291,24.7,0,2026-08-23 12:17:06.611564,11,43,6,1,4.2193,476.1,4.103133333333333,454.8233333333333,0.1098000000000007,4.4322,0,normal
11,ADMIN-01,Administrative Office,2026-08-22 17:13:37,229.6,2.11,484.46,0.3412,24.5,0,2026-08-23 12:17:06.610907,17,13,5,1,0.2201,379.66,0.17265,440.225,0.1211,0.4606,0,normal
209,LAB-02,Computer Laboratory 2,2026-08-23 02:58:37,227.6,0.71,161.6,2.8707,22.4,0,2026-08-23 12:17:06.611302,2,58,6,1,2.8303,162.38,2.7879,201.84333333333333,0.0403999999999999,2.9211,0,normal
337,CLASS-01,Classroom 1,2026-08-23 09:28:37,228.0,2.1,478.8,2.2768,26.2,6,2026-08-23 12:17:06.611502,9,28,6,1,2.1571,362.51,2.0609333333333333,402.51,0.1197000000000003,2.3326,0,normal
465,LIB-01,Library,2026-08-23 15:43:37,233.1,2.06,480.19,8.9231,24.5,1,2026-08-23 12:17:06.611858,15,43,6,1,8.8031,643.19,8.644866666666667,587.0833333333334,0.1199999999999992,9.0644,0,normal
52,CLASS-01,Classroom 1,2026-08-22 19:13:37,231.0,0.6,138.6,0.2946,25.0,0,2026-08-23 12:17:06.610964,19,13,5,1,0.2599,111.87,0.2323333333333333,97.96666666666664,0.0346999999999999,0.3231,0,normal
