device_id,area,timestamp,voltage,current,power,energy,temperature,occupancy
ADMIN-01,Administrative Office,2026-08-31 12:10:14,231.2,6.28,1451.94,0.363,26.3,9
CLASS-01,Classroom 1,2026-08-31 12:10:14,227.6,6.53,1486.23,0.3716,29.6,28
LAB-01,Computer Laboratory 1,2026-08-31 12:10:14,225.5,15.96,3598.98,0.8997,27.9,27
LAB-02,Computer Laboratory 2,2026-08-31 12:10:14,227.3,18.28,4155.04,1.0388,28.2,32
LIB-01,Library,2026-08-31 12:10:14,228.1,8.07,1840.77,0.4602,25.5,26
ADMIN-01,Administrative Office,2026-08-31 12:25:14,227.2,8.41,1910.75,0.8407,27.3,13
CLASS-01,Classroom 1,2026-08-31 12:25:14,229.2,10.92,2502.86,0.9973,30.4,54
LAB-01,Computer Laboratory 1,2026-08-31 12:25:14,229.6,11.71,2688.62,1.5719,26.7,18
LAB-02,Computer Laboratory 2,2026-08-31 12:25:14,228.4,12.78,2918.95,1.7685,26.6,17
LIB-01,Library,2026-08-31 12:25:14,228.5,12.03,2748.86,1.1474,25.9,42
